OID,PortHills2017_stack_post_B2,PortHills2017_stack_post_B3,PortHills2017_stack_post_B4,PortHills2017_stack_post_B5,PortHills2017_stack_post_B6,PortHills2017_stack_post_B7,PortHills2017_stack_NBR_post,PortHills2017_stack_dNBR,PortHills2017_stack_valid_data
337,0.028773,0.03903,0.040212,0.157335,0.133933,0.101372,0.216316,0.210539,1
338,0.04805,0.065897,0.0794,0.14661,0.21173,0.164623,-0.057875,0.257594,1
339,0.02825,0.03793,0.05498,0.097797,0.156483,0.094085,0.019348,0.641904,1
340,0.024015,0.031275,0.037683,0.106735,0.111548,0.074423,0.178367,0.359284,1
341,0.029487,0.037325,0.044915,0.101675,0.130358,0.089162,0.065566,0.32513,1
342,0.02396,0.028415,0.038425,0.083195,0.125435,0.082782,0.002485,0.531864,1
343,0.03155,0.04277,0.057868,0.131348,0.177878,0.134537,-0.011998,0.443827,1
344,0.033447,0.036445,0.040598,0.10085,0.118642,0.108577,-0.036898,0.714745,1
345,0.042825,0.055255,0.076705,0.120513,0.20568,0.16355,-0.151507,0.550664,1
346,0.026985,0.03265,0.043898,0.087815,0.141385,0.095625,-0.042575,0.56125,1
347,0.031605,0.04178,0.052175,0.113198,0.160195,0.13517,-0.088468,0.577291,1
348,0.0321,0.042055,0.056493,0.128075,0.16377,0.109595,0.077755,0.346182,1
349,0.02792,0.036445,0.046207,0.10415,0.149305,0.1091,-0.023212,0.528239,1
350,0.047418,0.072635,0.080555,0.247865,0.242007,0.161708,0.21036,0.094543,1
351,0.033832,0.046895,0.05784,0.184835,0.188355,0.12956,0.175814,0.302746,1
352,0.021925,0.03199,0.03188,0.19017,0.111795,0.062982,0.502415,0.029823,1
353,0.023135,0.024042,0.017855,0.059957,0.061717,0.060617,-0.005474,0.693676,1
354,0.047775,0.074367,0.080555,0.177712,0.222537,0.195835,-0.048515,0.487559,1
355,0.020495,0.025885,0.02891,0.10976,0.093398,0.063945,0.263752,0.291187,1
